u_0001,UC Davis,Computer Science,3.41,7.07,5.1,3.23,Medium,High,High,Experience,Experience,MAINTAIN — Experience is already High. Keep it strong and shift focus to your next weakest area to stay well-rounded for Computer Science roles.
u_0002,UC Davis,Statistics,3.74,7.56,5.1,3.23,High,High,High,,Experience,MAINTAIN — Experience is already High. Keep it strong and shift focus to your next weakest area to stay well-rounded for Statistics roles.
u_0003,San José State University,Software Engineering,3.18,6.72,5.1,3.23,Low,Low,High,,Experience,MAINTAIN — Experience is already High. Keep it strong and shift focus to your next weakest area to stay well-rounded for Software Engineering roles.
u_0004,UC Irvine,Data Science,3.88,7.77,5.1,3.05,High,Low,Low,Experience,Experience,URGENT — Experience is your weakest area AND has the highest placement lift for Data Science majors (lift: 0.181). Get an internship and complete 1-2 more strong projects.
u_0005,UC San Diego,Cognitive Science (HCI),3.29,6.89,5.1,3.23,Low,Low,Low,,Experience,URGENT — Experience is your weakest area AND has the highest placement lift for Cognitive Science (HCI) majors (lift: 0.000). Get an internship and complete 1-2 more strong projects.
u_0006,UC Davis,Mechanical Engineering,3.05,6.53,5.1,3.05,Low,High,Low,Skills,Skills,MAINTAIN — Skills is already High. Keep it strong and shift focus to your next weakest area to stay well-rounded for Mechanical Engineering roles.
u_0007,UC Davis,Computer Science,3.62,7.38,5.1,3.23,High,Low,Low,Experience,Experience,URGENT — Experience is your weakest area AND has the highest placement lift for Computer Science majors (lift: 0.107). Get an internship and complete 1-2 more strong projects.
u_0008,UCLA,Electrical Engineering,3.53,7.25,5.1,3.23,Medium,Low,Low,Experience,Experience,URGENT — Experience is your weakest area AND has the highest placement lift for Electrical Engineering majors (lift: 0.209). Get an internship and complete 1-2 more strong projects.
u_0009,UC Berkeley,Economics,3.67,7.46,5.1,3.23,High,Low,Low,,Experience,URGENT — Experience is your weakest area AND has the highest placement lift for Economics majors (lift: 0.000). Get an internship and complete 1-2 more strong projects.
u_0010,UC Davis,Computer Engineering,3.22,6.78,5.1,3.23,Low,Medium,Medium,Experience,Experience,GROW — Push Experience from Medium to High. This is the highest-leverage move for Computer Engineering placement (lift: 0.107). Take on a leadership role and add one more substantial project.
u_0011,"California State University, Long Beach",Information Systems,3.56,7.29,5.1,3.23,Medium,Medium,Medium,Experience,Experience,GROW — Push Experience from Medium to High. This is the highest-leverage move for Information Systems placement (lift: 0.181). Take on a leadership role and add one more substantial project.
u_0012,UC Santa Cruz,Computer Science: Game Design,3.12,6.63,5.1,3.23,Low,Medium,Medium,Experience,Experience,GROW — Push Experience from Medium to High. This is the highest-leverage move for Computer Science: Game Design placement (lift: 0.107). Take on a leadership role and add one more substantial project.
u_0013,UC Riverside,Computer Science,3.47,7.16,5.1,3.23,Medium,Medium,Medium,Experience,Experience,GROW — Push Experience from Medium to High. This is the highest-leverage move for Computer Science placement (lift: 0.107). Take on a leadership role and add one more substantial project.
u_0014,UC Davis,Design,3.58,7.32,5.1,3.23,Medium,Medium,Medium,,Experience,GROW — Push Experience from Medium to High. This is the highest-leverage move for Design placement (lift: 0.000). Take on a leadership role and add one more substantial project.
u_0015,UC Santa Barbara,Mathematics,3.81,7.67,5.1,3.23,High,Medium,Medium,,Experience,GROW — Push Experience from Medium to High. This is the highest-leverage move for Mathematics placement (lift: 0.000). Take on a leadership role and add one more substantial project.
u_0016,UC Davis,Data Science,3.33,6.95,5.1,3.23,Medium,Medium,Medium,Experience,Experience,GROW — Push Experience from Medium to High. This is the highest-leverage move for Data Science placement (lift: 0.181). Take on a leadership role and add one more substantial project.
u_0017,UC Davis,Computer Science,2.94,6.36,5.1,3.23,Low,High,High,Experience,Academics,"URGENT — GPA is 2.94 (below 3.0) and Academic score is Low. Raise your GPA first — this is a hard filter for most employers. Attend office hours, retake low-grade courses, and reduce extracurriculars temporarily."
u_0018,UC Merced,Computer Science,3.09,6.59,5.1,3.23,Low,High,High,Experience,Experience,MAINTAIN — Experience is already High. Keep it strong and shift focus to your next weakest area to stay well-rounded for Computer Science roles.
u_0019,UC Davis,Biomedical Engineering,3.44,7.11,5.1,3.05,Medium,Low,Low,Experience,Experience,URGENT — Experience is your weakest area AND has the highest placement lift for Biomedical Engineering majors (lift: 0.198). Get an internship and complete 1-2 more strong projects.
u_0020,UC Davis,Computer Science,3.95,7.88,6.15,3.23,High,High,High,Experience,Experience,MAINTAIN — Experience is already High. Keep it strong and shift focus to your next weakest area to stay well-rounded for Computer Science roles.
